Stock,Sector
ICICIGI,Financial Services
ICICIPRULI,Financial Services
IDBI,Financial Services
IDFCFIRSTB,Financial Services
IFCI,Financial Services
IIFL,Financial Services
INOXINDIA,Capital Goods
IRB,Construction
IRCON,Construction
ITC,Fast Moving Consumer Goods
ITI,Telecommunication
INDGN,Healthcare
INDIACEM,Construction Materials
INDIAMART,Consumer Services
INDIANB,Financial Services
IEX,Financial Services
INDHOTEL,Consumer Services
IOC,Oil Gas & Consumable Fuels
IOB,Financial Services
IRCTC,Consumer Services
IRFC,Financial Services
IREDA,Financial Services
IGL,Oil Gas & Consumable Fuels
INDUSTOWER,Telecommunication
INDUSINDBK,Financial Services
NAUKRI,Consumer Services
INFY,Information Technology
INOXWIND,Capital Goods
INTELLECT,Information Technology
INDIGO,Services
IGIL,Services
IKS,Information Technology
IPCALAB,Healthcare
JBCHEPHARM,Healthcare
JKCEMENT,Construction Materials
JBMA,Automobile and Auto Components
JKTYRE,Automobile and Auto Components
JMFINANCIL,Financial Services
JSWENERGY,Power
JSWHL,Financial Services
JSWINFRA,Services
JSWSTEEL,Metals & Mining
JPPOWER,Power
J&KBANK,Financial Services
JINDALSAW,Capital Goods
JSL,Metals & Mining
JINDALSTEL,Metals & Mining
JIOFIN,Financial Services
JUBLFOOD,Consumer Services
JUBLINGREA,Chemicals
JUBLPHARMA,Healthcare
JWL,Capital Goods
JUSTDIAL,Consumer Services
JYOTHYLAB,Fast Moving Consumer Goods
JYOTICNC,Capital Goods
KPRMILL,Textiles
KEI,Capital Goods
KNRCON,Construction
KPITTECH,Information Technology
KAJARIACER,Consumer Durables
KPIL,Construction
KALYANKJIL,Consumer Durables
KANSAINER,Consumer Durables
KARURVYSYA,Financial Services
KAYNES,Capital Goods
KEC,Construction
KFINTECH,Financial Services
KIRLOSBROS,Capital Goods
KIRLOSENG,Capital Goods
KOTAKBANK,Financial Services
KIMS,Healthcare
LTF,Financial Services
LTTS,Information Technology
LICHSGFIN,Financial Services
LTFOODS,Fast Moving Consumer Goods
LTIM,Information Technology
LT,Construction
LATENTVIEW,Information Technology
LAURUSLABS,Healthcare
LEMONTREE,Consumer Services
LICI,Financial Services
LINDEINDIA,Chemicals
LLOYDSME,Metals & Mining
LUPIN,Healthcare
MMTC,Services
MRF,Automobile and Auto Components
LODHA,Realty
MGL,Oil Gas & Consumable Fuels
MAHSEAMLES,Capital Goods
M&MFIN,Financial Services
M&M,Automobile and Auto Components
MANAPPURAM,Financial Services
MRPL,Oil Gas & Consumable Fuels
MANKIND,Healthcare
MARICO,Fast Moving Consumer Goods
MARUTI,Automobile and Auto Components
MASTEK,Information Technology
MFSL,Financial Services
MAXHEALTH,Healthcare
MAZDOCK,Capital Goods
METROPOLIS,Healthcare
MINDACORP,Automobile and Auto Components
MSUMI,Automobile and Auto Components
MOTILALOFS,Financial Services
MPHASIS,Information Technology
MCX,Financial Services
MUTHOOTFIN,Financial Services
NATCOPHARM,Healthcare
NBCC,Construction
NCC,Construction
NHPC,Power
NLCINDIA,Power
NMDC,Metals & Mining
NSLNISP,Metals & Mining
NTPCGREEN,Power
NTPC,Power
NH,Healthcare
NATIONALUM,Metals & Mining
NAVA,Power
NAVINFLUOR,Chemicals
NESTLEIND,Fast Moving Consumer Goods
NETWEB,Information Technology
NETWORK18,Media Entertainment & Publication
NEULANDLAB,Healthcare
NEWGEN,Information Technology
NAM-INDIA,Financial Services
NIVABUPA,Financial Services
NUVAMA,Financial Services
OBEROIRLTY,Realty
ONGC,Oil Gas & Consumable Fuels
OIL,Oil Gas & Consumable Fuels
OLAELEC,Automobile and Auto Components
OLECTRA,Automobile and Auto Components
PAYTM,Financial Services
